
Initial pcm(0x7EC0) Step = (0) /cnt=25 / F8 FF 31 22 21 02 00 33 56 B8 00 75 87 87 77 00 77 A9 45 55 00 66 55 56 45
;ADPCM5   Step  PcmCode
  f   0      0x7ECB
   f   16      0x7ED6
   1   16      0x7EDC
   13   15      0x7ECE
   12   15      0x7EC6
   12   14      0x7EBE
   11   14      0x7EBA
   12   13      0x7EB2
   0   13      0x7EB3
   10   12      0x7EB2
   3   12      0x7EBA
   3   11      0x7EC2
   6   11      0x7ED2
   5   10      0x7EDF
   8   10      0x7EF3
   b   18      0x7F0D
   5   18      0x7F28
   7   17      0x7F4D
   7   17      0x7F6E
   8   19      0x7F95
   7   19      0x7FBD
   8   21      0x7FEC
   7   21      0x801D
   7   20      0x804E
   7   20      0x807C
   7   19      0x80AA
   9   19      0x80DE
   a   25      0x8118
   5   25      0x814F
   4   24      0x817C
   5   24      0x81AD
   5   23      0x81DE
   6   23      0x8213
   6   22      0x8248
   5   22      0x8270
   5   21      0x8298
   6   21      0x82C3
   5   20      0x82E7
   5   20      0x8309
   4   19      0x8325
 
Initial pcm(0x8340) Step = (19) /cnt=150 / FD 01 30 97 98 FF 98 87 87 87 FF 77 89 77 78 FF 88 55 45 22 01 01 32 77 DB 00 55 76 98 66 00 77 88 66 66 00 66 45 34 12 FE 10 42 87 98 FF 87 88 77 99 FF 66 67 68 77 FF 56 45 23 00 00 31 55 98 77 00 99 67 78 89 00 77 77 78 88 00 66 56 66 55 E0 34 23 01 32 FF 75 CA 55 77 FF A9 65 77 88 FF 76 77 67 56 1F 45 13 00 31 00 65 88 87 77 00 88 67 77 88 00 66 76 76 77 00 77 79 79 79 C0 68 46 12 41 FF 96 A7 66 98 FF 76 88 87 67 FF 88 66 66 56 1F 45 23 00 31
;ADPCM5   Step  PcmCode
  11   19      0x8339
   0   18      0x833B
   10   18      0x8339
   13   17      0x8328
   17   17      0x8307
   19   21      0x82DC
   18   21      0x82A2
   19   25      0x8262
   18   25      0x820D
   19   29      0x81AE
   17   29      0x8141
   18   31      0x80C4
   17   31      0x8041
   18   33      0x7FAA
   17   33      0x7F0A
   18   35      0x7E53
   17   35      0x7D90
   17   34      0x7CCD
   19   34      0x7BED
   18   36      0x7B24
   17   36      0x7A4E
   17   35      0x7978
   18   35      0x789A
   17   34      0x77D7
   18   34      0x770E
   18   36      0x7645
   15   36      0x75A8
   15   35      0x750B
   15   35      0x747C
   14   34      0x7407
   12   34      0x73CD
   12   33      0x7393
